,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
F_Bout_URL,5123,5123,http://www.fightmetric.com/fight-details/144c4e65599288c3,1,,,,,,,,,
T_Bout_URL,5123,5123,https://www.tapology.com/fightcenter/bouts/23650-wec-51-mike-brown-vs-cole-province,1,,,,,,,,,
Event_Date,5123,479,2016-11-19 00:00:00,25,2008-01-19 00:00:00,2018-12-29 00:00:00,,,,,,,
FO,5092,3,Fighter_1,3373,,,,,,,,,
F1_URL,5123,1422,http://www.fightmetric.com/fighter-details/1d00756835ca67c9,28,,,,,,,,,
F1_T_ID,5123,1422,donald-cerrone-cowboy,28,,,,,,,,,
F1_BFO_URL,4644,1157,https://www.bestfightodds.com/fighters/Donald-Cerrone-220,28,,,,,,,,,
F2_URL,5123,1883,http://www.fightmetric.com/fighter-details/18968f97ad34f15c,18,,,,,,,,,
F2_T_ID,5123,1883,jeremy-stephens-lil-heathen,18,,,,,,,,,
F2_BFO_URL,4477,1438,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,18,,,,,,,,,
F1_DOB,5017,1211,1984-07-31 00:00:00,33,1961-12-13 00:00:00,1998-05-18 00:00:00,,,,,,,
FM_F1_3yr_T_SStr_A,4883.0,,,,,,278.1943477370469,273.5788314366468,0.0,63.0,200.0,419.0,1917.0
FM_F1_3yr_T_SStr_L,4883.0,,,,,,119.43784558672947,115.52480033857772,0.0,27.0,90.0,180.0,1009.0
FM_F1_3yr_T_SStr_PCT,4226.0,,,,,,0.44716708116394555,0.11644052295510496,0.0,0.375,0.44057707828894266,0.5108578016186712,1.0
FM_F1_3yr_T_SStr_A_VS,4883.0,,,,,,257.7745238582838,246.41946513240904,0.0,57.5,192.0,397.0,1780.0
FM_F1_3yr_T_SStr_L_VS,4883.0,,,,,,102.76510342002867,97.21288630078676,0.0,23.0,80.0,160.0,679.0
FM_F1_3yr_T_SStr_PCT_VS,4224.0,,,,,,0.4137303715359196,0.1152337435314883,0.0,0.3423100354452813,0.4098360655737705,0.4813948681553455,1.0
FM_F1_3yr_T_SStr_PCT_Def,4224.0,,,,,,0.5862696284640805,0.1152337435314883,0.0,0.5186051318446545,0.5901639344262295,0.6576899645547186,1.0
FM_F1_3yr_T_Str_A,4883.0,,,,,,354.2975629735818,327.662879880366,0.0,93.0,273.0,542.0,2174.0
FM_F1_3yr_T_Str_L,4883.0,,,,,,186.78353471226706,172.45914097090517,0.0,48.0,149.0,282.0,1162.0
FM_F1_3yr_T_Str_PCT,4227.0,,,,,,0.5404998283293766,0.13203476260207295,0.0,0.4549099967855995,0.535,0.6253665632423147,1.0
FM_F1_3yr_T_Str_A_VS,4883.0,,,,,,322.682162604956,286.764898601847,0.0,82.0,257.0,507.0,2086.0
FM_F1_3yr_T_Str_L_VS,4883.0,,,,,,160.30043006348555,140.0318277956846,0.0,41.0,133.0,253.0,986.0
FM_F1_3yr_T_Str_PCT_VS,4225.0,,,,,,0.5126041430537587,0.13326511745920025,0.0,0.42407199100112486,0.5109243697478991,0.5978835978835979,1.0
FM_F1_3yr_T_Str_PCT_Def,4225.0,,,,,,0.4873958569462413,0.13326511745920025,0.0,0.4021164021164021,0.4890756302521009,0.5759280089988752,1.0
FM_F1_3yr_T_TD_A,4883.0,,,,,,10.628916649600656,12.936532408004803,0.0,1.0,6.0,16.0,87.0
FM_F1_3yr_T_TD_L,4883.0,,,,,,4.390129019045669,5.571916402853947,0.0,0.0,2.0,7.0,40.0
FM_F1_3yr_T_TD_PCT,3736.0,,,,,,0.4462270224540347,0.26625971530844234,0.0,0.2727272727272727,0.42857142857142855,0.6,1.0
FM_F1_3yr_T_TD_A_VS,4883.0,,,,,,10.073315584681549,11.267680385332856,0.0,1.0,7.0,15.0,82.0
FM_F1_3yr_T_TD_L_VS,4883.0,,,,,,3.490477165676838,4.356838018929328,0.0,0.0,2.0,5.0,29.0
FM_F1_3yr_T_TD_PCT_VS,3863.0,,,,,,0.37722225641780527,0.2722219864455617,0.0,0.18181818181818182,0.3333333333333333,0.5,1.0
FM_F1_3yr_T_TD_PCT_Def,3863.0,,,,,,0.6227777435821947,0.2722219864455617,0.0,0.5,0.6666666666666667,0.8181818181818181,1.0
FM_F1_3yr_T_SUB_A,4883.0,,,,,,1.7964366168339136,2.8751024774544987,0.0,0.0,1.0,3.0,30.0
FM_F1_3yr_T_Bout_Min,4883.0,,,,,,36.381814458324804,30.199884920448266,0.0,12.283333333333333,30.550000000000004,56.96666666666667,170.0
FM_F1_3yr_T_SStr_A_pM,4232.0,,,,,,7.659139655944322,4.047368006525741,0.0,5.307807717954418,7.0588235294117645,9.27790925029401,81.42857142857171
FM_F1_3yr_T_SStr_L_pM,4232.0,,,,,,3.3962380962642555,2.310464790156115,0.0,2.2650846566701706,3.0927189645973536,4.060321537144411,56.0
FM_F1_3yr_T_SStr_A_pM_VS,4232.0,,,,,,7.122115791660497,3.6215578664406087,0.0,4.818891034368512,6.588262800740283,8.809269348181516,59.999999999999815
FM_F1_3yr_T_SStr_L_pM_VS,4232.0,,,,,,2.9267145914776544,1.8547738230432842,0.0,1.9004349405948224,2.6656075142482503,3.544360880795742,44.99999999999986
FM_F1_3yr_T_Str_A_pM,4232.0,,,,,,9.841663615706635,4.301805711544663,0.0,7.290410202108559,9.271533627042345,11.651447768240754,81.42857142857171
FM_F1_3yr_T_Str_L_pM,4232.0,,,,,,5.323085093693775,2.9441899043042,0.0,3.7369293829543686,4.830267180199977,6.2512487662640215,60.0
FM_F1_3yr_T_Str_A_pM_VS,4232.0,,,,,,9.019522417255065,3.7242919689629255,0.0,6.7543487834976945,8.620293698377427,10.739641688390925,59.999999999999815
FM_F1_3yr_T_Str_L_pM_VS,4232.0,,,,,,4.6047370629490505,2.354808407730526,0.0,3.2692214111922144,4.258914376808068,5.517518190446063,44.99999999999986
FM_F1_3yr_T_TD_A_pM,4232.0,,,,,,0.289078464523934,0.25960329549108285,0.0,0.09497807244880942,0.24020606754436175,0.42301935394040646,2.727272727272728
FM_F1_3yr_T_TD_L_pM,4232.0,,,,,,0.12407827731447442,0.13654025223770347,0.0,0.028378858941068324,0.09469059484323553,0.18108651911468812,2.2222222222222223
FM_F1_3yr_T_TD_A_pM_VS,4232.0,,,,,,0.2849062770879089,0.2509916182743094,0.0,0.12164042736599738,0.2411949438487172,0.3966254993318804,3.75
FM_F1_3yr_T_TD_L_pM_VS,4232.0,,,,,,0.10482641145266222,0.12420774996921773,0.0,0.025212799917517098,0.07559735791945513,0.14584937072998158,2.2222222222222223
FM_F1_3yr_T_SStr_PCT_OQA,3085.0,,,,,,0.26073842255300567,0.07305443971262365,0.03085106382978725,0.21433142912454714,0.2560427535960125,0.30020860519361575,1.0
FM_F1_3yr_T_TD_PCT_OQA,1058.0,,,,,,0.3637301741803978,0.1731334762806712,0.03421052631578947,0.2415837784900285,0.3459564920597695,0.4589656862745098,1.0
FM_F2_3yr_T_num_bouts,4883.0,,,,,,2.6280974810567272,2.4403000897389924,0.0,0.0,2.0,4.0,12.0
FM_F2_3yr_T_SStr_A,4883.0,,,,,,205.0849887364325,243.7078373411455,0.0,0.0,121.0,324.0,1729.0
FM_F2_3yr_T_SStr_L,4883.0,,,,,,88.05078844972353,103.82867806372458,0.0,0.0,53.0,141.0,923.0
FM_F2_3yr_T_SStr_PCT,3631.0,,,,,,0.4415465893776902,0.12029065581879965,0.0,0.37142857142857144,0.43833580980683506,0.5071609242548537,1.0
FM_F2_3yr_T_SStr_A_VS,4883.0,,,,,,191.58140487405285,222.31147456434792,0.0,0.0,112.0,304.0,1565.0
FM_F2_3yr_T_SStr_L_VS,4883.0,,,,,,77.74011877943887,88.83545266785556,0.0,0.0,48.0,121.0,577.0
FM_F2_3yr_T_SStr_PCT_VS,3637.0,,,,,,0.42661382893067296,0.12228943114231129,0.0,0.3520408163265306,0.41743119266055045,0.49291166848418755,1.0
FM_F2_3yr_T_SStr_PCT_Def,3637.0,,,,,,0.5733861710693271,0.12228943114231129,0.0,0.5070883315158125,0.5825688073394495,0.6479591836734694,1.0
FM_F2_3yr_T_Str_A,4883.0,,,,,,262.69567888593076,297.11839663330926,0.0,0.0,165.0,418.5,1816.0
FM_F2_3yr_T_Str_L,4883.0,,,,,,138.9309850501741,157.3796424322472,0.0,0.0,88.0,224.5,1071.0
FM_F2_3yr_T_Str_PCT,3633.0,,,,,,0.5382406386369114,0.13425794245100198,0.0,0.45454545454545453,0.5357142857142857,0.624777183600713,1.0
FM_F2_3yr_T_Str_A_VS,4883.0,,,,,,242.12451361867704,264.2951469127469,0.0,0.0,159.0,392.0,1681.0
