F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
19559-marcel-fortuna,Marcel-Fortuna-6973,,"Anthony Hamilton UFC Fight Night 104: Bermudez vs. Korean Zombie 2017-02-04
",,,1.0,1,1.0
brian-foster,Brian-Foster-333,"Luiz Firmino WSOF 33 2016-10-07
Jack Mason Cage Warriors 44 2011-10-01
","Luiz Firmino WSOF 33 2016-10-07
Jack Mason Cage Warriors 44 2011-10-01
Kyle Baker Shine Fights: Genesis 2009-05-09
",,"Chris Lytle UFC 110: Nogueira vs. Velasquez 2010-02-21
Matt Horwich IFL: Grand Prix Semifinals 2007-11-03
",1.0,1,1.0
xavier-foupa-pokam-professor-x,Xavier-Foupa-Pokam-1032,"Alex Makhonin BAMMA 5 2011-02-26
","Alex Makhonin BAMMA 5 2011-02-26
Kyacey Uscola PFC 12: High Stakes 2009-01-22
",,"Chester Post Agression MMA 2009-10-24
",1.0,1,1.0
francisco-france-kiko,Francisco-France-2170,,"Hans Stringer World Series of Fighting 6: Burkman vs. Carl 2013-10-26
",,"Keith Jardine Nemesis Fighting: MMA Global Invasion 2010-12-13
",1.0,1,0.94
john-franchi,John-Franchi-699,,"Frank Latina IFL: New Blood New Battles 2008-05-16
",,,1.0,1,1.0
gary-frazier,Gary-Frazier-1584,,"Daniel Cormier Strikeforce Challengers: Kennedy vs Cummings 2009-09-25
",,,1.0,1,1.0
17448-justin-frazier,Justin-Frazier-2925,,"Liron Wilson Bellator Fighting Championship 52 2011-10-01
",,,1.0,1,1.0
41835-massio-fullen,Masio-Fullen-5319,,"Alexander Torres UFC 184: Rousey vs. Zingano 2015-02-28
",,,0.86,1,1.0
travis-fulton-the-ironman,Travis-Fulton-1638,,"Brad Kohler Evolution II: Mayhem In Minneapolis 2010-04-24
",,"Jeff Monson Thunder Promotions: Alabama Pride 2009-12-12
Jason Fairn Agression MMA 2009-10-24
",1.0,1,1.0
masakatsu-funaki,Masakatsu-Funaki-642,,"Kiyoshi Tamura DREAM 2 2008-04-29
",,,1.0,1,1.0
ricardo-funch-golden-boy,Ricardo-Funch-1621,,"Johny Hendricks UFC 107: Penn vs Sanchez 2009-12-12
",,,1.0,1,1.0
13882-Sheila-Gaff-Bulldog,Sheila-Gaff-2466,"Jennifer Maia Cage Warriors Fight Night 4 2012-03-16
Aisling Daly Cage Warriors 41 2011-04-24
","Sara McMann UFC 159: Jones vs. Sonnen 2013-04-27
",,,1.0,1,1.0
michel-gagnon,Mitch-Gagnon-3084,,"Bryan Caraway UFC 149: Faber vs. Barao 2012-07-21
",,,0.88,1,0.92
travis-galbraith-the-gladiator,Travis-Galbraith-817,,"Rafael Cavalcante EliteXC: Unfinished Business 2008-07-26
",,,1.0,1,1.0
22492-dave-galera,David-Galera-4564,,"Royston Wee UFC Fight Night 34: Saffiedine vs. Lim 2014-01-04
",,,0.87,1,1.0
zelg-galesic-benkei,Zelg-Galesic-251,,"Taiei Kin K-1 Heros Korea 2007-10-28
",,"Taiei Kin DREAM 4 2008-06-15
Dong Sik Yoon K-1 Heros: Tournament Final 2007-09-16
",0.83,1,0.99
63731-mickey-gall,Mickey-Gall-6162,,"Mike Jackson UFC Fight Night 82: Hendricks vs. Thompson 2016-02-06
",,,1.0,1,1.0
tom-gallicchio,Tom-Gallicchio-1747,"Rick Hawn WCF 9 2010-02-26
","Daniel Madrid M-1 Challenge 27: Garner vs. Grishin 2011-10-14
",,,1.0,1,1.0
turrell-galloway,Turrell-Galloway-8240,,"Ahmet Kayretli LFA 39: Heinisch vs. Checco 2018-05-04
",,,1.0,1,1.0
andre-galvao,Andre-Galvao-1211,,"John Alessio DREAM 8 2009-04-05
",,"Luke Stewart Strikeforce Challengers VII: Johnson vs. Mahe 2010-03-26
",0.91,1,1.0
marcos-galvao-louro,Marcos-Galvao-417,,"Brian Bowles WEC 31: Faber vs Curran 2007-12-12
",,,0.96,1,1.0
lucas-gamaza,Lucas-Gamaza-2280,,"James Terry Strikeforce: Diaz vs. Cyborg 2011-01-29
",,,1.0,1,1.0
joey-gambino,Joey-Gambino-3344,,"Steven Siler UFC on FX 4: Guida vs. Maynard 2012-06-22
",,,1.0,1,0.98
21780-cody-garbrandt-no-love,Cody-Garbrandt-5368,,"Marcus Brimage UFC 182: Jones vs. Cormier 2015-01-03
",,,1.0,1,1.0
edgar-garcia-cabello-,Edgar-Garcia-1011,,"Hiromitsu Miura WEC 38: Varner vs Cerrone 2009-01-25
",,,1.0,1,0.94
54304-elias-garcia,Elias-Garcia-4042,,"Mark De La Rosa UFC Fight Night 133: Dos Santos vs. Ivanov 2018-07-14
",,"Damacio Page Legacy FC 31: Bush vs. Gonzales 2014-06-13
Henry Cejudo Legacy FC 27: Means vs. Young 2014-01-31
Matt Schnell Legacy Fighting Championship 20: Prater vs. Ferreira 2013-05-31
",1.0,1,1.0
david-gardner-hello-japan,David-Gardner-1124,,"Shinya Aoki DREAM 7 2009-03-08
",,,1.0,1,1.0
doug-marshall-rhino,Diego-Garijo-1133,,"Hector Munoz Bellator Fighting Championship 6 2009-05-08
",,"Israel Giron Bellator Fighting Championship 2 2009-04-10
",0.36,1,0.18
pablo-garza-the-scarecrow,Pablo-Garza-2116,,"Tiequan Zhang WEC 51: Aldo vs. Gamburyan 2010-09-30
",,,1.0,1,0.99
19770-azamat-gashimov-tough-guy,Azamat-Gashimov-3191,,"Ivan Menjivar UFC 154: St-Pierre vs. Condit 2012-11-17
",,,1.0,1,1.0
brian-gassaway-mandingo,Brian-Gassaway-674,,"Forrest Petz Adrenaline MMA 1 2008-06-14
",,,1.0,1,1.0
41355-kelvin-gastelum,Kelvin-Gastelum-4061,,"Urijah Hall UFC: The Ultimate Fighter 17 Finale 2013-04-13
",,,1.0,1,0.99
willie-gates,Willie-Gates-5361,,"John Moraga UFC on FOX 13: Dos Santos vs. Miocic 2014-12-13
",,,1.0,1,0.96
charlene-gellner-princess,Charlene-Gellner-2281,,"Jenna Castillo Strikeforce: Diaz vs. Cyborg 2011-01-29
",,,1.0,1,1.0
chad-george-savage,Chad-George-1327,,"Kevin Dunsmor Call To Arms 1 2009-05-16
",,,1.0,1,0.92
paul-georgieff,Paul-Georgieff-372,,"Jonathan Goulet UFC: The Ultimate Fighter 6 Finale 2007-12-08
",,,1.0,1,1.0
brian-geraghty,Brian-Geraghty-76,,"Matt Wiman UFC: The Ultimate Fighter 5 Finale 2007-06-23
",,,1.0,1,1.0
derek-getzel-the-pretzel,Derek-Getzel-2186,"Caros Fodor Strikeforce Challengers 12 2010-11-19
","Kenneth Glenn Legacy FC 43: Krantz vs. Larson 2015-07-17
",,,1.0,1,0.7
82608-karine-gevorgyan-princess,Karine-Gevorgyan-7781,,"Rachael Ostovich UFC: The Ultimate Fighter 26 Finale 2017-12-01
",,,1.0,1,1.0
tiki-ghosn,Tiki-Ghosn-157,"Blas Avena WEC 29 2007-08-05
","Luke Stewart Strikeforce: Shamrock vs Le 2008-03-29
",,,1.0,1,1.0
38606-christos-giagos-the-spartan,Christos-Giagos-5071,,"Dakota Cochrane RFA 17: Cochrane vs. Giagos 2014-08-22
",,,1.0,1,1.0
nick-gibbons,Nick-Gibbons-1594,,"Josh Pulsifer Strikeforce Challengers: Kennedy vs Cummings 2009-09-25
",,,1.0,1,1.0
james-giboo,James-Giboo-785,,"Brad Blackburn UFC Fight Night 14: Silva vs Irvin 2008-07-19
",,,1.0,1,1.0
cody-gibson,Cody-Gibson-1915,"Gustavo Erak LFA 51 2018-09-28
","Gustavo Erak LFA 51 2018-09-28
David Bollea Tachi Palace Fights 5 2010-07-09
",,,1.0,1,1.0
lee-gibson-lethal,Lee-Gibson-1660,,"Joe Wilk Strikeforce Challengers V: Woodley vs Bears 2009-11-20
",,,1.0,1,1.0
kenny-giddens,Kenny-Giddens-1592,,"John Carson Strikeforce Challengers: Kennedy vs Cummings 2009-09-25
",,,1.0,1,0.87
82348-joseph-gigliotti,Joe-Gigliotti-6832,,"Gerald Meerschaert UFC Fight Night 102: Lewis vs. Abdurakhimov 2016-12-09
",,,0.9,1,1.0
20072-trevin-giles,Trevin-Giles-4665,"Ryan Spann LFA 3: Spann vs. Giles 2017-02-10
","Ryan Spann LFA 3: Spann vs. Giles 2017-02-10
Angelus McFarlane Legacy FC 27: Means vs. Young 2014-01-31
",,,1.0,1,0.97
kultar-gill-black-mamba,Kultar-Gill-534,,"Tatsuya Kawajiri DREAM 1 2008-03-15
",,,1.0,1,1.0
