,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
4581,2018-11-24,UFC Fight Night: Blaydes vs. Ngannou 2,de25520d54eab12d,Su Mudaerji,Louis Smolka,3cf18e01cb6cbde3,d2bc285ead803db0
4582,2018-12-01,UFC Fight Night: Dos Santos vs. Tuivasa,d1d20e651e6cbc02,Suman Mokhtarian,Sodiq Yusuff,192520689012c7e4,94426bb170c88115
4583,2017-09-22,UFC Fight Night: Saint Preux vs. Okami,9211aae062b799d6,Syuri Kondo,Chanmi Jeon,a851c35f58199231,24174a3f44ce8e03
4584,2011-11-18,Strikeforce Challengers 20,453ee00c3e1ae9dd,TJ Cook,Trevor Smith,fa238ecfd048f7d8,f797f0c57a83353e
4585,2011-12-03,The Ultimate Fighter 14 Finale: Team Bisping vs Team Miller,1f5f75658551f2d3,TJ Dillashaw,John Dodson,c849740a3ff51931,99506df1af6c8b3b
4586,2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,0a97691039c4bbfb,TJ Dillashaw,Walel Watson,c849740a3ff51931,92aafa8f4b26269b
4587,2012-07-11,UFC on FUEL TV: Munoz vs Weidman,d3b5ad3b15a64a18,TJ Dillashaw,Vaughan Lee,c849740a3ff51931,8bb6f4479685bbcc
4588,2013-03-16,UFC 158: St-Pierre vs Diaz,f1b2a4365799c48b,TJ Dillashaw,Issei Tamura,c849740a3ff51931,57bf89d42364d39e
4589,2013-04-20,UFC on FOX: Henderson vs Melendez,aa79d5399571068e,TJ Dillashaw,Hugo Viana,c849740a3ff51931,f95381efb3051d81
4590,2014-01-15,UFC Fight Night: Rockhold vs Philippou,30a09e43f15f1d75,TJ Dillashaw,Mike Easton,c849740a3ff51931,bc7230f231701d66
4591,2014-08-30,UFC 177: Dillashaw vs Soto,269d103c96a4c3a5,TJ Dillashaw,Joe Soto,c849740a3ff51931,a4e85a58fbce64b2
4592,2015-07-25,UFC on Fox: Dillashaw vs. Barao II,0c3838c8f7c620c2,TJ Dillashaw,Renan Barao,c849740a3ff51931,2c99576fefe53c7c
